link,isbn,annotation,bbk,ydk,bibl_record
https://znanium.com/catalog/document?id=418740,978-5-94074-884-7,"В книге рассказано обо всем, что необходимо для построения защищенной от внешних воздействий корпоративной сети - о том, как создать собственный удостоверяющий центр для выдачи SSL-сертификатов, как выдавать, отзывать, преобразовывать и просматривать сертификаты. Как установить SSL-сертификат в ОС или браузер, как его использовать, работая с защищенным ресурсом и какие ошибки при этом возникают. 
Описывается, как с помощью сертификатов защищить корпоративную электронную почту на всех этапах ее передачи - от почтовой программы пользователя до сервера получателя; как установить веб-интерфейс к хранимой на сервере почте, позволяющий просматривать ее в защищенном режиме с любой точки мира. 
Также уделено внимание защите служебных коммуникаций, в частности подключения из скриптов для управления серверами. В книге приводится большое число примеров конфигурационных файлов с подробным пояснением параметров, а также скриптов на языке Bourne Shell 1.x. 

Издание предназначено для системных и сетевых администраторов UNIX, администраторов средств информационной безопасности.","[['3297', 'Вычислительная техника']]","[['004', 'Информационные технологии. Вычислительная техника...']]","Ачилов, Р. Н. Построение защищенных корпоративных сетей : практическое руководство / Р. Н. Ачилов. - Москва : ДМК Пресс, 2013. - 250 с. - ISBN 978-5-94074-884-7. - Текст : электронный. - URL: https://znanium.com/catalog/product/1908433 (дата обращения: 19.01.2023). – Режим доступа: по подписке."
https://znanium.com/catalog/document?id=418739,978-5-97060-651-3,"Материал книги помогает разобраться в том, что обычно скрывается за терминами и шаблонными фразами «взлом электронной почты», «кибершпионаж» и «фишинг».
Автор старался показать информационную безопасность как поле битвы с трех сторон: со стороны преступного сообщества, использующего информационные тех-
нологии, со стороны законодательства и правоохранительной системы и со стороны атакуемого.
Основная идея состоит в том, чтобы доступно представить картину сегодняшней киберпреступности на актуальных примерах, включая применение фишинг-атак, но
не ограничиваясь этим.
Приводимые методы атак подкрепляются примерами из реальной жизни. Углубленно разбираются механизмы получения незаконного доступа к учетным записям
информационных ресурсов, в частности электронной почты. Акцентируется внимание на методе проведения фишинг-атак как наиболее эффективном на сегодняшний
день инструменте получения паролей.
Фишинг рассматривается как универсальный инструмент, находящий свое проявление в различных мошеннических и хакерских комбинациях, как с технической,
так и с юридической стороны.
Книга включает практический взгляд на механизмы, используемые киберпреступниками, а также процесс формирования судебного производства и методов рас-
следования таких преступлений.
Материал дает возможность пересмотреть и адекватно оценивать риски, эффективность используемых систем защиты, выстроить политику безопасности
в соответствии с реальностью. Приводятся советы по предотвращению кибератак и алгоритм первоначальных действий, которые необходимо предпринимать при наступлении
инцидента и которые направлены на фиксацию следов, эффективное расследование и взаимодействие с правоохранительными органами.","[['3297', 'Вычислительная техника']]","[['004', 'Информационные технологии. Вычислительная техника...']]","Масалков, А. С. Особенности киберпреступлений: инструменты нападения и защита информации : практическое руководство / А. С. Масалков. - Москва : ДМК Пресс, 2018. - 226 с. - ISBN 978-5-97060-651-3. - Текст : электронный. - URL: https://znanium.com/catalog/product/1908432 (дата обращения: 19.01.2023). – Режим доступа: по подписке."
https://znanium.com/catalog/document?id=418737,978-5-97060-713-8,"Способна ли технология машинного обучения решить проблемы компьютерной безопасности? Или надежда на это является лишь следствием повышенного внимания
к машинному обучению?
С помощью этой книги вы изучите способы применения машинного обучения в задачах обеспечения безопасности, таких как выявление вторжения извне, классификация
вредоносных программ и анализ сетевой среды. Особое внимание уделено задачам по созданию работоспособных, надежных масштабируемых систем извлечения и анализа данных в сфере обеспечения безопасности.
Издание предназначено инженерам по обеспечению безопасности, а также специалистам по обработке данных научными методами.","[['3297', 'Вычислительная техника']]","[['004', 'Информационные технологии. Вычислительная техника...']]","Чио, К. Машинное обучение и безопасность: защита систем с помощью данных и алгоритмов : практическое руководство / К. Чио, Д. Фримэн. - Москва : ДМК Пресс, 2020. - 388 с. - ISBN 978-5-97060-713-8. - Текст : электронный. - URL: https://znanium.com/catalog/product/1908430 (дата обращения: 19.01.2023). – Режим доступа: по подписке."
https://znanium.com/catalog/document?id=418736,978-5-97060-576-9,"Книга представляет собой курс компьютерной вирусологии, посвященный подробному рассмотрению феномена саморазмножающихся программ. Содержит неформальное и формальное введение в проблему компьютерных вирусов, описание принципов их работы, многочисленные примеры кода, методики обнаружения и удаления, а также лежащие в основе этих методик математические модели. Рассматривает все наиболее широко распространенные в прошлом и настоящем типы вирусов. Ориентирована на самую широкую аудиторию, но прежде всего на студентов и программистов - будущих и действующих специалистов в области защиты информации и разработки системного и прикладного программного обеспечения. Также может быть полезна и интересна ""рядовым"" пользователям, интересующимся проблемой компьютерных вирусов.","[['3297', 'Вычислительная техника']]","[['004', 'Информационные технологии. Вычислительная техника...']]","Климентьев, К. Е. Компьютерные вирусы и антивирусы: взгляд программиста : практическое руководство / К. Е. Климентьев. - Москва : ДМК Пресс, 2018. - 656 с. - ISBN 978-5-97060-576-9. - Текст : электронный. - URL: https://znanium.com/catalog/product/1908429 (дата обращения: 19.01.2023). – Режим доступа: по подписке."
https://znanium.com/catalog/document?id=418735,5-89818-064-8,"В книге рассматриваются актуальные вопросы защиты данных при создании распределенных информационных систем масштаба предприятия, приводятся подробные описания принципов применения современных криптографических средств, имеющихся на рынке («Криптон», «Верба», «Шип», «Игла» и др.). Значительное место уделяется проблемам сохранения тайны при финансовых обменах через Internet, а также электронной коммерции.
Завершают книгу приложения, посвященные практическим рекомендациям по самым острым вопросам обеспечения защиты информации.","[['3297', 'Вычислительная техника']]","[['004', 'Информационные технологии. Вычислительная техника...']]","Петров, А. А. Компьютерная безопасность: криптографические методы защиты : практическое руководство / А. А. Петров. - Москва : ДМК Пресс, 2008. - 448 с. - ISBN 5-89818-064-8. - Текст : электронный. - URL: https://znanium.com/catalog/product/1908428 (дата обращения: 19.01.2023). – Режим доступа: по подписке."
https://znanium.com/catalog/document?id=418734,978-5-97060-709-1,"Когда ландшафт угроз постоянно расширяется, возникает необходимость иметь надежную стратегию в области безопасности, т.е. усиление защиты, обнаружения и реагирования. На протяжении этой книги вы будете изучать методы атак и шаблоны, позволяющие распознавать аномальное поведение в вашей организации, используя тактические приемы Синей команды.
Вы также научитесь методам сбора данных об эксплуатации, выявления рисков и продемонстрируете влияние на стратегии Красной и Синей команд.
Некоторые демонстрации из книги могут быть проведены в лабораторной среде, поэтому рекомендуется создать виртуальную лабораторию, используя виртуальные машины Windows Server 2012, Windows 10 и Kali Linux.
Издание предназначено для специалистов по информационной безопасности и IT-специалистов, которые хотят узнать больше о кибербезопасности.","[['3297', 'Вычислительная техника']]","[['004', 'Информационные технологии. Вычислительная техника...']]","Диогенес, Ю. Кибербезопасность: стратегии атак и обороны : практическое руководство / Ю. Диогенес, Э. Озкайя ; пер. с анг. Д. А. Беликова. - Москва : ДМК Пресс, 2020. - 326 с. - ISBN 978-5-97060-709-1. - Текст : электронный. - URL: https://znanium.com/catalog/product/1908427 (дата обращения: 19.01.2023). – Режим доступа: по подписке."
https://znanium.com/catalog/document?id=418732,978-5-4499-1221-3,"Внезапная потеря хранящихся в компьютере данных — это всегда драма. Особенно, если они относятся к профессиональной деятельности: можно лишиться выгодного заказа, получить крупные убытки или потерять работу. Не столь критично, но бесконечно досадно и жалко терять семейные фото и видео, коллекции фильмов и музыки, прочий любимый контент.
В большинстве случаев данные утрачиваются из-за беспечности пользователей. «Нафталиновые» советы по созданию резервных копий актуальны и сегодня, но многие по-прежнему надеются на «авось» и наивно верят в то, что их компьютер никогда не подведет. А к огда э то случается и ценная информация оказывается утраченной, они в панике хватаются за голову и готовы на все ради восстановления данных, в том числе — платить за это немалые деньги.
Не спешите! Перед вами книга, которая поможет решить проблему без привлечения специалистов и денежных трат. Она расскажет, как восстановить утраченные компьютерные данные даже в самых сложных ситуациях.
Текст печатается в авторской редакции.","[['3297', 'Вычислительная техника']]","[['004', 'Информационные технологии. Вычислительная техника...']]","Гладкий, А. А. Как быстро восстановить потерянные компьютерные данные: подробное руководство по спасению информации : практическое руководство / А. А. Гладкий. - Москва ; Берлин : Директ-Медиа, 2020. - 290 с. - ISBN 978-5-4499-1221-3. - Текст : электронный. - URL: https://znanium.com/catalog/product/1908425 (дата обращения: 19.01.2023). – Режим доступа: по подписке."
https://znanium.com/catalog/document?id=418668,978-5-97060-352-9,"Книга предназначена для быстрого освоения 3D-моделирования в новейшей версии системы автоматизированного проектирования AutoCAD 2016. В пособии приводится необходимый и достаточный набор команд для понимания принципов работы и начала работы в 3D-пространстве. Книга содержит большое количество упражнений, каждое из которых представляет собой законченный реальный объект. Издание предназначено для пользователей, имеющих навык работы в двухмерной среде AutoCAD. Так же материал может быть полезен студентам, архитекторам и инженерам, решившим освоить 3D-моделирование.","[['3297', 'Вычислительная техника']]","[['004', 'Информационные технологии. Вычислительная техника...'], ['72', 'Архитектура']]","Габидулин, В. М. Трехмерное моделирование в AutoCAD 2016 : практическое пособие / В. М. Габидулин. - Москва : ДМК Пресс, 2016. - 270 с. - ISBN 978-5-97060-352-9. - Текст : электронный. - URL: https://znanium.com/catalog/product/1908068 (дата обращения: 19.01.2023). – Режим доступа: по подписке."
https://znanium.com/catalog/document?id=418667,978-5-94074-980-6,"Книга предназначена для быстрого освоения 3D-моделирования в новейшей версии системы автоматизированного проектирования AutoCAD 2014. Начиная с версии 2013, система AutoCAD дополнилась очень мощными средствами автоматизированного создания чертежной документации при помощи проекционных видов. Сохраняя преемственность, новая версия программы продолжает улучшение и развитие этих средств.
В пособии приводится необходимый и достаточный набор команд для понимания принципов работы и начала работы в 3D-пространстве. Книга содержит большое количество упражнений, каждое из которых представляет собой законченный реальный объект. Издание предназначено для пользователей, имеющих навык работы в двухмерной среде AutoCAD.
Так же материал может быть полезен студентам, архитекторам и инженерам, решившим освоить 3D-моделирование.","[['3297', 'Вычислительная техника']]","[['004', 'Информационные технологии. Вычислительная техника...'], ['744', 'Черчение. Геометрическое, техническое рисование']]","Габидулин, В. М. Трехмерное моделирование в AutoCAD 2014 : практическое пособие / В. М. Габидулин. - Москва : ДМК Пресс, 2014. - 280 с. - ISBN 978-5-94074-980-6. - Текст : электронный. - URL: https://znanium.com/catalog/product/1908067 (дата обращения: 19.01.2023). – Режим доступа: по подписке."
https://znanium.com/catalog/document?id=418664,978-5-94074-679-9,"Книга предназначена для освоения графической системы AutoCAD в рамках изучения курса «Инженерная и компьютерная графика» студентами машиностроительных специальностей и дизайнеров. Содержит методические материалы для выполнения чертежей по стандартам ЕСКД в графическом редакторе AutoCAD. Описана технология создания, редактирования и оформления чертежей. Освоение представлено в виде конкретных упражнений с поэтапным выполнением. Приведены варианты индивидуальных графических заданий по техническому черчению, на конкретном примере рассмотрено их выполнение. В издании описываются режимы и инструменты трехмерного рабочего пространства графической системы AutoCAD 2012. Рассмотрены методы поверхностного и твердотельного моделирования, представлена методика создания трехмерных моделей различных
объектов. Книга рассчитана на студентов-машиностроителей, дизайнеров и всех желающих научиться работать в графической системе AutoCAD.","[['30', 'Техника и технические науки в целом'], ['3297', 'Вычислительная техника']]","[['004', 'Информационные технологии. Вычислительная техника...'], ['744', 'Черчение. Геометрическое, техническое рисование']]","Аббасов, И. Б. Создаем чертежи на компьютере в AutoCAD 2012 : практическое руководство / И. Б. Аббасов. - Москва : ДМК Пресс, 2011. - 136 с. - ISBN 978-5-94074-679-9. - Текст : электронный. - URL: https://znanium.com/catalog/product/1908063 (дата обращения: 19.01.2023). – Режим доступа: по подписке."
https://znanium.com/catalog/document?id=418660,978-5-94074-692-8,"Эта книга посвящена новейшей технологии компьютерного проектирования - Информационному моделированию зданий (BIM) и является первым изданием по этой теме на русском языке. Технология BIM возникла сравнительно недавно, но за последние годы активно становится доминирующей в мировой проектно-строительной практике, заменяя все ранее применявшиеся методы проектирования. В нашей стране она только начала внедряться, но уже хорошо известна специалистам, работающим с программами Autodesk Revit, Graphisoft ArchiCAD, Nemetschek Allplan, Bentley Architecture, Tekla Structures и некоторыми другими. Настоящая монография является не только исследованием вопросов, связанных с новой технологией, но и учебником по основам BIM, популярно объясняющим, что такое информационное моделирование зданий, как оно возникло, где и кем используется, как его внедрять в проектную практику и что для этого необходимо. Книга не требует специальных знаний и рассчитана на самый широкий круг читателей: архитекторов и конструкторов, инженеров и строителей, эксплуатационщиков и собственников зданий, специалистов по информационным технологиям в строительстве, руководителей различного уровня, студентов и школьников. Она поможет каждому разобраться и сориентироваться в этой совершенно новой области применения компьютерных технологий, за которой - большое будущее.","[['3297', 'Вычислительная техника'], ['382', 'Изыскания и проектирование в строительстве']]","[['004', 'Информационные технологии. Вычислительная техника...'], ['72', 'Архитектура']]","Талапов, В. В. Основы BIM: введение в информационное моделирование зданий : практическое руководство / В. В. Талапов. - Москва : ДМК Пресс, 2011. - 392 с. - ISBN 978-5-94074-692-8. - Текст : электронный. - URL: https://znanium.com/catalog/product/1908059 (дата обращения: 19.01.2023). – Режим доступа: по подписке."
https://znanium.com/catalog/document?id=418659,978-5-97060-151-8,"Книга посвящена архитектурной визуализации в Autodesk 3ds Max и программе рендеринга mental ray. Она содержит основные сведения о трёхмерной графике и поможет вам разобраться с настройками рендеринга, материалов и освещения; научит вас максимально быстро и эффективно воссоздавать фотореалистичную 3D-визуализацию будущего проекта интерьера или здания. Вы познакомитесь с процессом рендеринга, трассировкой лучей,
сэмплированием и фильтрацией конечного изображения. Узнаете, что такое глобальное освещение и как оно реализовано в mental ray, какие существуют эффекты камеры (глубина резкости, дисторсия, световая
аура и др.). Второе издание было значительно улучшено и расширено. Добавлено описание параметров реальной фотокамеры для большего понимания теории света и экспозиции. Рассмотрена работа с различными
шейдерами, а также увеличена глава по постобработке изображений. Издание предназначено для всех любителей трехмерной графики, работающих в системе Autodesk 3ds Max, а также будет полезна профессионалам 3D-индустрии, активно использующим mental ray в своей работе.","[['387', 'Отдельные виды строительства']]","[['004', 'Информационные технологии. Вычислительная техника...'], ['72', 'Архитектура']]","Плаксин, А. А. Mental ray. Мастерство визуализации в Autodesk 3ds Max : практическое руководство / А. А. Плаксин, А. В. Лобанов. - 2-е изд., перераб. и доп. - Москва : ДМК Пресс, 2015. - 350 с. - ISBN 978-5-97060-151-8. - Текст : электронный. - URL: https://znanium.com/catalog/product/1908057 (дата обращения: 19.01.2023). – Режим доступа: по подписке."
https://znanium.com/catalog/document?id=418645,978-5-97060-239-3,"Освоив основные приемы работы в системе AutoCAD и выполнив первый реальный проект, проектировщик, как правило, не достигает идеала при оформлении работы. Например, типы линий и штриховок в стандартной поставке системы не удовлетворяют стандартам, принятым на предприятии. В данной книге подробно, с множеством примеров описывается алгоритм создания форм и типов линий, что пригодится представителям самых разных профессий: геодезистам, проектировщикам систем энергоснабжения, строителям и др. Умение пользоваться блоками, блоками с атрибутами и динамическими блоками - признак высокой культуры работы в AutoCAD,
поэтому часть книги посвящена блокам. Один раз созданный динамический блок позволит надолго разрешить проблему создания однотипных элементов, а использование атрибутов - создавать автоматизированные таблицы и спецификации. Наконец, изучив материал данной книги, читатель научится настраивать пользовательский интерфейс, создавать собственные команды и модифицировать существующие. Книга предназначена для пользователей, имеющих базовые навыки работы в AutoCAD. Излагаемый материал будет полезен читателям вне зависимости от того, с какой версией системы они работают.","[['302', 'Проектирование'], ['3297', 'Вычислительная техника']]","[['004', 'Информационные технологии. Вычислительная техника...'], ['620', 'Испытания материалов. Товароведение. Силовые станции. Общая энергетика']]","Габидулин, В. М. Адаптация AutoCAD под стандарты предприятия : практическое руководство / В. М. Габидулин. - Москва : ДМК Пресс, 2016. - 210 с. - ISBN 978-5-97060-239-3. - Текст : электронный. - URL: https://znanium.com/catalog/product/1908043 (дата обращения: 19.01.2023). – Режим доступа: по подписке."
https://znanium.com/catalog/document?id=418642,978-5-94074-848-9,"Официальный учебный курс Autodesk охватывает все особенности технологии Civil 3D 2013. При проектировании объектов гражданского строительства вы быстро освоите основные принципы работы, в том числе импорт данных геодезической съемки, проектирование в 2D и 3D, добавление границ участков и трубопроводных сетей, создание проектно-сметной документации и многое другое. Теперь вы сможете увидеть все это в действии, получив доступ к видеоматериалам (на англ. языке) и дополнительно рекомендуемых практических упражнений. Будь вы начинающий инженер-строитель, готовящийся к сертификации, или просто желаете обновить свои навыки в Civil 3D 2013, это получится быстро и основательно!","[['32', 'Радиоэлектроника']]","[['004', 'Информационные технологии. Вычислительная техника...'], ['72', 'Архитектура']]","Чэпел, Э. Autodesk® Civil 3D® 2013 : практическое руководство / Э. Чэпел ; пер. с анг. А. В. Снастина, С. П. Ивженко. - Москва : ДМК Пресс, 2014. - 424 с. - ISBN 978-5-94074-848-9. - Текст : электронный. - URL: https://znanium.com/catalog/product/1908040 (дата обращения: 19.01.2023). – Режим доступа: по подписке."
https://znanium.com/catalog/document?id=418641,978-5-94074-830-4,"Эта книга, написанная сертифицированными компанией Autodesk американскими специалистами, посвящена основам работы с программой Autodesk Revit на основе Revit Architecture 2012. В ней достаточно умело объясняется, как надо начинать работу с Revit, что делать на первой (эскизной) стадии проектирования, как развивать и улучшать уже начатый проект, как создавать и оформлять спецификации и чертежи. Но эта книга учит не только и не столько «нажимать кнопки», ее главная задача - помочь начинающему пользователю понять идеологию программы, основные принципы создания модели здания, суть проектной работы на основе технологии информационного моделирования зданий (BIM). Кроме традиционного изучения возможностей Revit, большое место в книге отводится вопросам организации проектирования в условиях внедрения BIM как на начальной, так и на последующих стадиях, взаимодействию членов коллектива, особенностям использования программы, полезным советам и анализу возможных проблем. При этом через всю книгу проходит главная мысль, что переход на BIM - это не смена программного обеспечения, это освоение новой технологии проектирования, требующее переделки сложившихся ранее производственных отношений. Книга будет полезна как начинающим, так и опытным пользователям, желающим хорошо разобраться в особенностях работы программы Revit Architecture 2012 и озадаченным переходом в своей проектной практике на новую технологию BIM.","[['3297', 'Вычислительная техника']]","[['004', 'Информационные технологии. Вычислительная техника...'], ['72', 'Архитектура']]","Рид, Ф. Autodesk© Revit© Architecture 2012. Официальный учебный курс : практическое руководство / Ф. Рид, Э. Кригел, Дж. Вандезанд ; пер. с англ. В. Талапов. - Москва : ДМК Пресс, 2012. - 312 с. - ISBN 978-5-94074-830-4. - Текст : электронный. - URL: https://znanium.com/catalog/product/1908039 (дата обращения: 19.01.2023). – Режим доступа: по подписке."
https://znanium.com/catalog/document?id=418640,978-5-94074-873-1,"В пособии освещаются вопросы, связанные с использованием графического пакета Autodesk Inventor в курсе инженерной графики, то есть построение моделей и создание чертежей деталей. Моделирование начинается с построения плоских контуров. Этому посвящена первая часть пособия. Во второй части рассмотрено построение моделей, создание чертежей простых геометрических тел и деталей типа «тела вращения» и «не тела вращения». В приложении приведены задания для самостоятельной работы. Большое число иллюстраций и достаточно подробное изложение материала позволяет использовать это пособие для самообучения. Книга подготовлена на основе опыта преподавания компьютерной графики как раздела дисциплины «Инженерная графика» в МГТУ им. Н. Э. Баумана. Данное издание учитывает все требования государственных стандартов Единой системы конструкторской документации (ЕСКД).","[['3297', 'Вычислительная техника']]","[['004', 'Информационные технологии. Вычислительная техника...'], ['72', 'Архитектура']]","Гузненков, В. Н. Autodesk Inventor 2012. Трехмерное моделирование деталей и создание чертежей : учебное пособие / В. Н. Гузненков, П. А. Журбенко. - Москва : ДМК Пресс, 2012. - 120 с. - ISBN 978-5-94074-873-1. - Текст : электронный. - URL: https://znanium.com/catalog/product/1908038 (дата обращения: 19.01.2023). – Режим доступа: по подписке."
https://znanium.com/catalog/document?id=418639,978-5-97060-314-7,"Это книга, написанная сертифицированным компанией Autodesk американским специалистом, посвящена основам работы в программных продуктах AutoCAD 2015 и AutoCAD LT 2015. Тщательно проработанные темы курса, посвященные двумерному черчению, преследуют основную цель - помочь пользователю эффективно применять инструменты AutoCAD. Рассмотрены вопросы создания простых и сложных геометрических объектов, их организация в блоки, группы и слои, добавление аннотаций и форм, работа с листами, печать чертежей, создание трехмерных моделей, реалистичных изображений и многое другое. Издание будет полезно как начинающим, так и опытным пользователям, желающим разобраться в тонкостях работы AutoCAD 2015 или AutoCAD LT 2015 и выбравшим эти программы как основной инструмент проектирования.","[['3297', 'Вычислительная техника']]","[['004', 'Информационные технологии. Вычислительная техника...'], ['72', 'Архитектура']]","Онстотт, С. AutoCAD® 2015 и AutoCAD LT® 2015. Официальный учебный курс : практическое руководство / С. Онстотт ; пер. с англ. С. П. Ивженко. - Москва : ДМК Пресс, 2015. - 416 с. - ISBN 978-5-97060-314-7. - Текст : электронный. - URL: https://znanium.com/catalog/product/1908037 (дата обращения: 19.01.2023). – Режим доступа: по подписке."
https://znanium.com/catalog/document?id=418638,978-5-94074-895-3,"Это книга, написанная сертифицированным компанией Autodesk американским специалистом, посвящена основам работы в программных продуктах AutoCAD 2014 и AutoCAD LT 2014. Тщательно проработанные темы курса, посвященные двумерному черчению, преследуют основную цель - помочь пользователю эффективно применять инструменты AutoCAD. Рассмотрены вопросы создания простых и сложных геометрических объектов, их организация в блоки, группы и слои, добавление аннотаций и форм, работа с листами, печать чертежей, создание трехмерных моделей, реалистичных изображений и многое другое. Издание будет полезно как начинающим, так и опытным пользователям, желающим разобраться в тонкостях работы AutoCAD 2014 или AutoCAD LT 2014 и выбравшим эти программы как основной инструмент проектирования.","[['3297', 'Вычислительная техника']]","[['004', 'Информационные технологии. Вычислительная техника...'], ['72', 'Архитектура']]","Онстотт, С. AutoCAD® 2014 и AutoCAD LT® 2014. Официальный учебный курс : практическое руководство / С. Онстотт ; пер. с англ. С. П. Ивженко. - Москва : ДМК Пресс, 2014. - 421 с. - ISBN 978-5-94074-895-3. - Текст : электронный. - URL: https://znanium.com/catalog/product/1908036 (дата обращения: 19.01.2023). – Режим доступа: по подписке."
https://znanium.com/catalog/document?id=418637,978-5-94074-845-8,"Это книга, написанная сертифицированным компанией Autodesk американским специалистом, посвящена основам работы в программных продуктах AutoCAD 2013 и AutoCAD LT 2013. Тщательно проработанные темы курса, посвященные двумерному черчению, преследуют основную цель - помочь пользователю эффективно применять инструменты AutoCAD. Рассмотрены вопросы создания простых и сложных геометрических объектов, их организация в блоки, группы и слои, добавление аннотаций и форм, работа с листами, печать чертежей, создание трехмерных моделей, реалистичных изображений и многое другое. Издание будет полезно как начинающим, так и опытным пользователям, желающим разобраться в тонкостях работы AutoCAD 2013 или AutoCAD LT 2013 и выбравшим эти программы как основной инструмент проектирования.","[['32', 'Радиоэлектроника']]","[['004', 'Информационные технологии. Вычислительная техника...'], ['72', 'Архитектура']]","Онстотт, С. AutoCAD® 2013 и AutoCAD LT® 2013. Официальный учебный курс : практическое руководство / С. Онстотт ; пер. с англ. С. П. Ивженко. - Москва : ДМК Пресс, 2013. - 396 с. - ISBN 978-5-94074-845-8. - Текст : электронный. - URL: https://znanium.com/catalog/product/1908035 (дата обращения: 19.01.2023). – Режим доступа: по подписке."
